,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Unnamed: 4_level_0
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
0,Robert Lewandowski,pl POL,FW,36-080,12.0,12,980.0,10.9,14.0,2.0,16.0,12.0,2.0,3.0,1.0,0.0,13.1,10.8,1.7,12.5,12.0,22.0,61.0,1.29,0.18,1.47,1.1,1.29,1.21,0.15,1.36,0.99,1.14,Matches,Barcelona,
1,Raphinha,br BRA,"FW,MF",27-331,12.0,11,991.0,11.0,7.0,6.0,13.0,7.0,0.0,0.0,1.0,0.0,6.9,6.9,6.6,13.5,33.0,50.0,93.0,0.64,0.54,1.18,0.64,1.18,0.63,0.6,1.23,0.63,1.23,Matches,Barcelona,
2,Lamine Yamal,es ESP,FW,17-119,12.0,11,975.0,10.8,5.0,7.0,12.0,5.0,0.0,0.0,1.0,0.0,3.2,3.2,5.5,8.7,62.0,59.0,145.0,0.46,0.65,1.11,0.46,1.11,0.29,0.51,0.8,0.29,0.8,Matches,Barcelona,
3,Iñigo Martínez,es ESP,DF,33-176,11.0,11,970.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.4,1.6,20.0,87.0,2.0,0.0,0.09,0.09,0.0,0.09,0.02,0.13,0.15,0.02,0.15,Matches,Barcelona,
4,Pau Cubarsí,es ESP,DF,17-292,12.0,11,932.0,10.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.0,8.0,56.0,1.0,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.09,0.01,0.09,Matches,Barcelona,
5,Jules Koundé,fr FRA,DF,25-363,12.0,10,937.0,10.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,1.2,1.5,17.0,60.0,66.0,0.1,0.1,0.19,0.1,0.19,0.03,0.12,0.15,0.03,0.15,Matches,Barcelona,
6,Pedri,es ESP,MF,21-350,12.0,10,838.0,9.3,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.8,2.8,17.0,72.0,28.0,0.32,0.11,0.43,0.32,0.43,0.11,0.19,0.3,0.11,0.3,Matches,Barcelona,
7,Alejandro Balde,es ESP,DF,21-022,11.0,9,816.0,9.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,30.0,24.0,70.0,0.0,0.22,0.22,0.0,0.22,0.03,0.1,0.13,0.03,0.13,Matches,Barcelona,
8,Marc Casado,es ESP,MF,21-056,10.0,8,682.0,7.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.3,2.1,5.0,48.0,14.0,0.0,0.4,0.4,0.0,0.4,0.11,0.17,0.28,0.11,0.28,Matches,Barcelona,
9,Iñaki Peña,es ESP,GK,25-252,7.0,6,586.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona,
10,Marc-André ter Stegen,de GER,GK,32-193,6.0,6,494.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona,
11,Ferrán Torres,es ESP,FW,24-254,8.0,5,328.0,3.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.8,0.8,0.2,1.0,4.0,9.0,18.0,0.27,0.55,0.82,0.27,0.82,0.22,0.07,0.28,0.22,0.28,Matches,Barcelona,
12,Eric García,es ESP,MF,23-305,8.0,3,443.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.9,8.0,29.0,5.0,0.0,0.2,0.2,0.0,0.2,0.12,0.07,0.19,0.12,0.19,Matches,Barcelona,
